tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
1h,ny,sweep,bias+mss,fix2,26,42.3,1.38,145,6,3/6,-86,False
15m,asian,fvg,pd+bias+sweep,fix2,107,42.1,1.08,144,6,3/6,-144,False
1h,london+ny,ob,pd+bias+sweep,fix3,42,45.2,1.23,140,6,4/6,-104,False
1h,london+ny,ob,pd+bias+sweep,struct,42,45.2,1.23,140,6,4/6,-104,False
1h,all,ob,pd+bias+sweep+mss,fix2,28,42.9,1.32,138,6,3/6,-64,False
1h,asian,ob,pd+bias+sweep+mss,fix2,6,66.7,3.38,135,6,2/6,-30,False
1h,asian,ob,pd+bias+mss,fix2,17,47.1,1.52,132,6,4/6,-87,False
1h,london+ny,sweep,bias+mss,fix2,40,40.0,1.2,128,5,3/6,-79,False
1h,asian,sweep,bias+mss,fix3,23,43.5,1.33,119,5,4/6,-29,False
1h,asian,sweep,bias+mss,struct,23,43.5,1.33,119,5,4/6,-29,False
1h,asian,fvg,pd+bias+sweep,fix3,19,42.1,1.35,115,5,3/6,-29,False
1h,asian,fvg,pd+bias+sweep,struct,19,42.1,1.35,115,5,3/6,-29,False
1h,london+ny,sweep,bias+mss,fix3,40,45.0,1.2,114,5,3/6,-86,False
1h,london+ny,sweep,bias+mss,struct,40,45.0,1.2,114,5,3/6,-86,False
1h,asian,ob,pd+bias+sweep+mss,fix3,6,66.7,2.96,111,5,2/6,-30,False
1h,asian,ob,pd+bias+sweep+mss,struct,6,66.7,2.96,111,5,2/6,-30,False
1h,ny,ob,pd+bias+mss,fix2,18,44.4,1.4,108,5,4/6,-66,False
15m,asian,ob,pd+bias+mss,fix2,111,39.6,1.06,106,4,4/6,-162,False
1h,london+ny,ob,pd+bias+mss,fix2,24,41.7,1.24,93,4,4/6,-95,False
15m,london+ny,fvg,pd+bias,fix2,250,40.4,1.02,91,4,3/6,-266,False
1h,london+ny,ob,pd+bias+sweep,fix2,42,38.1,1.11,76,3,3/6,-104,False
1h,london,sweep,bias+mss,fix3,14,50.0,1.39,75,3,3/6,-52,False
1h,london,sweep,bias+mss,struct,14,50.0,1.39,75,3,3/6,-52,False
1h,asian,ob,pd+bias+mss,fix3,17,47.1,1.29,73,3,4/6,-87,False
1h,asian,ob,pd+bias+mss,struct,17,47.1,1.29,73,3,4/6,-87,False
5m,ny,sweep,bias+mss,fix3,226,46.5,1.02,66,3,2/6,-328,False
5m,ny,sweep,bias+mss,struct,226,46.5,1.02,66,3,2/6,-328,False
5m,asian,fvg,pd+bias+sweep,fix3,266,48.1,1.01,57,2,3/6,-514,False
5m,asian,fvg,pd+bias+sweep,struct,266,48.1,1.01,57,2,3/6,-514,False
1h,ny,ob,pd+bias+mss,fix3,18,44.4,1.17,46,2,4/6,-78,False
1h,ny,ob,pd+bias+mss,struct,18,44.4,1.17,46,2,4/6,-78,False
1h,asian,sweep,bias+mss,fix2,23,39.1,1.1,41,2,3/6,-67,False
5m,london,ob,pd+bias+sweep+mss,fix2,45,40.0,1.05,40,2,3/6,-197,False
1h,ny,sweep,bias+mss,fix3,26,42.3,1.1,39,2,3/6,-98,False
1h,ny,sweep,bias+mss,struct,26,42.3,1.1,39,2,3/6,-98,False
1h,asian,ob,pd+bias+sweep,fix3,27,40.7,1.09,38,2,2/6,-48,False
1h,asian,ob,pd+bias+sweep,struct,27,40.7,1.09,38,2,2/6,-48,False
1h,all,ob,pd+sweep,fix3,180,40.0,1.01,37,2,2/6,-237,False
1h,all,ob,pd+sweep,struct,180,40.0,1.01,37,2,2/6,-237,False
1h,london,ob,pd+bias+mss,fix2,7,42.9,1.31,34,1,2/6,-54,False
1h,asian,ob,pd+bias+sweep,fix2,27,37.0,1.06,28,1,2/6,-79,False
1h,london+ny,ob,pd+bias+mss,fix3,24,41.7,1.06,25,1,3/6,-107,False
1h,london+ny,ob,pd+bias+mss,struct,24,41.7,1.06,25,1,3/6,-107,False
15m,ny,ob,pd+bias+sweep,fix2,149,36.9,1.01,23,1,3/6,-233,False
1h,london,ob,pd,fix3,110,40.9,1.01,23,1,3/6,-45,False
1h,london,ob,pd,struct,110,40.9,1.01,23,1,3/6,-45,False
1h,london,ob,pd+bias+mss,fix3,7,42.9,1.16,18,1,2/6,-54,False
1h,london,ob,pd+bias+mss,struct,7,42.9,1.16,18,1,2/6,-54,False
1h,ny,ob,pd+sweep,fix3,90,41.1,1.01,14,1,2/6,-145,False
1h,ny,ob,pd+sweep,struct,90,41.1,1.01,14,1,2/6,-145,False
1h,london,sweep,bias,fix2,56,37.5,1.01,14,1,3/6,-119,False
15m,london,ob,pd+bias+mss,fix3,48,43.8,1.01,11,0,3/6,-82,False
15m,london,ob,pd+bias+mss,struct,48,43.8,1.01,11,0,3/6,-82,False
1h,london,fvg,pd+bias,fix2,31,38.7,1.02,11,0,5/6,-204,False
15m,london,ob,pd+bias+sweep+mss,fix3,21,42.9,1.02,7,0,4/6,-114,False
15m,london,ob,pd+bias+sweep+mss,struct,21,42.9,1.02,7,0,4/6,-114,False
15m,london+ny,ob,pd+bias+sweep,fix2,224,37.1,1.0,4,0,4/6,-471,False
1h,asian,ob,pd+bias,fix3,64,40.6,1.0,-2,0,2/6,-91,False
1h,asian,ob,pd+bias,struct,64,40.6,1.0,-2,0,2/6,-91,False
15m,asian,ob,pd+bias+sweep+mss,fix2,37,37.8,0.99,-6,0,3/6,-154,False
1h,ny,ob,pd+bias+sweep+mss,fix3,6,33.3,0.95,-6,0,2/6,-27,False
1h,ny,ob,pd+bias+sweep+mss,struct,6,33.3,0.95,-6,0,2/6,-27,False
1h,london,ob,pd+bias+sweep+mss,fix2,3,33.3,0.85,-8,0,1/6,-29,False
1h,london,fvg,pd+bias+sweep,fix3,9,33.3,0.95,-8,0,2/6,-56,False
1h,london,fvg,pd+bias+sweep,struct,9,33.3,0.95,-8,0,2/6,-56,False
1h,ny,ob,pd+bias+sweep+mss,fix2,6,33.3,0.88,-13,-1,1/6,-27,False
15m,london,fvg,pd+bias+sweep,fix2,63,39.7,0.99,-14,-1,4/6,-193,False
1h,london,ob,pd+bias+sweep+mss,fix3,3,33.3,0.75,-14,-1,1/6,-29,False
1h,london,ob,pd+bias+sweep+mss,struct,3,33.3,0.75,-14,-1,1/6,-29,False
1h,london,sweep,bias+mss,fix2,14,35.7,0.93,-17,-1,3/6,-52,False
1h,london+ny,ob,pd+bias+sweep+mss,fix3,9,33.3,0.88,-19,-1,2/6,-56,False
1h,london+ny,ob,pd+bias+sweep+mss,struct,9,33.3,0.88,-19,-1,2/6,-56,False
15m,london,fvg,pd+bias+sweep,fix3,64,45.3,0.98,-20,-1,3/6,-183,False
15m,london,fvg,pd+bias+sweep,struct,64,45.3,0.98,-20,-1,3/6,-183,False
15m,london,ob,pd+bias+mss,fix2,48,37.5,0.98,-21,-1,2/6,-140,False
1h,london+ny,ob,pd+bias+sweep+mss,fix2,9,33.3,0.87,-21,-1,2/6,-56,False
1h,london,ob,pd,fix2,110,35.5,0.99,-22,-1,2/6,-46,False
15m,asian,ob,pd+bias,fix2,255,37.6,0.99,-23,-1,2/6,-259,False
1h,london,fvg,pd+bias+sweep,fix2,9,33.3,0.85,-25,-1,2/6,-56,False
1h,asian,fvg,pd+bias+sweep,fix2,19,36.8,0.92,-30,-1,1/6,-36,False
1h,asian,ob,pd,fix2,155,35.5,0.99,-32,-1,4/6,-265,False
15m,ny,ob,pd+bias+sweep,fix3,153,42.5,0.99,-33,-1,3/6,-143,False
15m,ny,ob,pd+bias+sweep,struct,153,42.5,0.99,-33,-1,3/6,-143,False
1h,asian,fvg,pd+bias,fix2,59,39.0,0.96,-40,-2,4/6,-141,False
15m,asian,fvg,pd+bias+sweep,fix3,108,45.4,0.97,-45,-2,3/6,-188,False
15m,asian,fvg,pd+bias+sweep,struct,108,45.4,0.97,-45,-2,3/6,-188,False
1h,asian,ob,pd+bias,fix2,63,34.9,0.96,-47,-2,3/6,-204,False
15m,asian,ob,pd+bias+sweep+mss,fix3,38,42.1,0.9,-64,-3,2/6,-83,False
15m,asian,ob,pd+bias+sweep+mss,struct,38,42.1,0.9,-64,-3,2/6,-83,False
5m,asian,ob,pd+bias,fix3,685,46.1,0.99,-70,-3,3/6,-650,False
5m,asian,ob,pd+bias,struct,685,46.1,0.99,-70,-3,3/6,-650,False
15m,london,fvg,raw,fix3,592,45.1,0.99,-75,-3,3/6,-721,False
15m,london,fvg,raw,struct,592,45.1,0.99,-75,-3,3/6,-721,False
15m,london,ob,pd+bias+sweep,fix2,93,36.6,0.95,-76,-3,2/6,-191,False
5m,london,ob,pd+bias+mss,fix3,123,45.5,0.96,-83,-3,3/6,-312,False
5m,london,ob,pd+bias+mss,struct,123,45.5,0.96,-83,-3,3/6,-312,False
15m,london,ob,pd+bias+sweep+mss,fix2,21,33.3,0.8,-83,-3,2/6,-114,False
5m,london,ob,pd+bias+sweep+mss,fix3,46,43.5,0.89,-86,-4,3/6,-209,False
5m,london,ob,pd+bias+sweep+mss,struct,46,43.5,0.89,-86,-4,3/6,-209,False
1h,london,ob,pd+bias+sweep,fix3,11,27.3,0.54,-96,-4,1/6,-51,False
1h,london,ob,pd+bias+sweep,struct,11,27.3,0.54,-96,-4,1/6,-51,False
15m,asian,ob,pd+bias+sweep,fix3,141,42.6,0.95,-103,-4,3/6,-271,False
15m,asian,ob,pd+bias+sweep,struct,141,42.6,0.95,-103,-4,3/6,-271,False
5m,london,ob,pd+bias,fix2,349,38.7,0.98,-105,-4,3/6,-410,False
5m,asian,fvg,pd+bias+sweep,fix2,264,40.5,0.98,-121,-5,2/6,-538,False
5m,ny,ob,pd+sweep,fix3,698,45.1,0.99,-123,-5,3/6,-661,False
5m,ny,ob,pd+sweep,struct,698,45.1,0.99,-123,-5,3/6,-661,False
15m,ny,fvg,pd+bias,fix2,152,38.8,0.96,-124,-5,4/6,-326,False
1h,all,sweep,bias,fix3,296,39.2,0.97,-137,-6,2/6,-242,False
1h,all,sweep,bias,struct,296,39.2,0.97,-137,-6,2/6,-242,False
5m,london,ob,pd+bias,fix3,365,45.5,0.98,-143,-6,2/6,-359,False
5m,london,ob,pd+bias,struct,365,45.5,0.98,-143,-6,2/6,-359,False
1h,london,ob,pd+bias+sweep,fix2,11,18.2,0.4,-143,-6,1/6,-81,False
5m,asian,ob,pd+bias+sweep+mss,fix3,114,44.7,0.92,-146,-6,2/6,-418,False
5m,asian,ob,pd+bias+sweep+mss,struct,114,44.7,0.92,-146,-6,2/6,-418,False
1h,london,sweep,raw,fix2,152,35.5,0.94,-172,-7,2/6,-259,False
1h,london,ob,raw,fix3,183,38.3,0.94,-175,-7,2/6,-145,False
1h,london,ob,raw,struct,183,38.3,0.94,-175,-7,2/6,-145,False
15m,london,ob,pd+bias,fix2,166,36.1,0.94,-176,-7,2/6,-221,False
5m,london,ob,pd+bias+mss,fix2,118,37.3,0.92,-181,-8,2/6,-328,False
1h,london,ob,bias,fix3,88,35.2,0.87,-195,-8,2/6,-105,False
1h,london,ob,bias,struct,88,35.2,0.87,-195,-8,2/6,-105,False
15m,london+ny,ob,pd+bias+sweep,fix3,230,41.7,0.95,-202,-8,3/6,-364,False
15m,london+ny,ob,pd+bias+sweep,struct,230,41.7,0.95,-202,-8,3/6,-364,False
1h,all,ob,pd,fix3,227,37.4,0.95,-208,-9,3/6,-209,False
1h,all,ob,pd,struct,227,37.4,0.95,-208,-9,3/6,-209,False
5m,asian,ob,pd+bias+sweep,fix2,393,39.2,0.97,-214,-9,2/6,-459,False
15m,london+ny,fvg,pd+bias,fix3,252,43.7,0.95,-221,-9,2/6,-316,False
15m,london+ny,fvg,pd+bias,struct,252,43.7,0.95,-221,-9,2/6,-316,False
1h,london,ob,pd+bias,fix3,28,28.6,0.59,-222,-9,1/6,-138,False
1h,london,ob,pd+bias,struct,28,28.6,0.59,-222,-9,1/6,-138,False
15m,asian,fvg,raw,fix3,1109,44.7,0.99,-224,-9,3/6,-903,False
15m,asian,fvg,raw,struct,1109,44.7,0.99,-224,-9,3/6,-903,False
5m,ny,sweep,bias+mss,fix2,220,37.7,0.94,-226,-9,3/6,-479,False
1h,london,ob,pd+bias,fix2,28,25.0,0.6,-229,-10,1/6,-138,False
15m,london,ob,pd+bias+sweep,fix3,93,39.8,0.84,-244,-10,2/6,-185,False
15m,london,ob,pd+bias+sweep,struct,93,39.8,0.84,-244,-10,2/6,-185,False
1h,asian,fvg,raw,fix2,366,37.7,0.96,-254,-11,1/6,-520,False
15m,london,ob,pd+bias,fix3,167,41.3,0.91,-261,-11,2/6,-215,False
15m,london,ob,pd+bias,struct,167,41.3,0.91,-261,-11,2/6,-215,False
5m,london+ny,ob,pd+sweep,fix2,1012,38.4,0.98,-274,-11,2/6,-630,False
5m,london,ob,pd+bias+sweep,fix3,206,44.2,0.92,-283,-12,4/6,-380,False
5m,london,ob,pd+bias+sweep,struct,206,44.2,0.92,-283,-12,4/6,-380,False
5m,asian,ob,pd+bias+mss,fix3,288,45.5,0.94,-283,-12,2/6,-400,False
5m,asian,ob,pd+bias+mss,struct,288,45.5,0.94,-283,-12,2/6,-400,False
1h,london+ny,sweep,bias,fix3,140,37.1,0.87,-302,-13,2/6,-200,False
1h,london+ny,sweep,bias,struct,140,37.1,0.87,-302,-13,2/6,-200,False
5m,london,ob,pd+bias+sweep,fix2,203,36.9,0.92,-312,-13,4/6,-478,False
15m,ny,fvg,pd+bias,fix3,151,41.7,0.88,-312,-13,2/6,-328,False
15m,ny,fvg,pd+bias,struct,151,41.7,0.88,-312,-13,2/6,-328,False
15m,london,sweep,bias+mss,fix2,60,31.7,0.73,-317,-13,3/6,-153,False
15m,london,sweep,bias+mss,fix3,61,36.1,0.7,-339,-14,1/6,-166,False
15m,london,sweep,bias+mss,struct,61,36.1,0.7,-339,-14,1/6,-166,False
1h,london+ny,ob,raw,fix3,310,36.8,0.93,-346,-14,2/6,-214,False
1h,london+ny,ob,raw,struct,310,36.8,0.93,-346,-14,2/6,-214,False
15m,asian,ob,pd+bias+sweep,fix2,136,33.8,0.86,-364,-15,2/6,-229,False
15m,london+ny,ob,raw,fix3,933,42.1,0.98,-371,-15,3/6,-689,False
15m,london+ny,ob,raw,struct,933,42.1,0.98,-371,-15,3/6,-689,False
1h,ny,ob,raw,fix2,241,34.0,0.91,-372,-16,2/6,-217,False
5m,london+ny,sweep,bias+mss,fix3,354,44.6,0.93,-380,-16,2/6,-275,False
5m,london+ny,sweep,bias+mss,struct,354,44.6,0.93,-380,-16,2/6,-275,False
15m,all,ob,pd+sweep,fix3,811,42.4,0.97,-390,-16,3/6,-745,False
15m,all,ob,pd+sweep,struct,811,42.4,0.97,-390,-16,3/6,-745,False
15m,ny,sweep,bias+mss,fix3,97,37.1,0.76,-390,-16,2/6,-186,False
15m,ny,sweep,bias+mss,struct,97,37.1,0.76,-390,-16,2/6,-186,False
15m,london,sweep,bias,fix3,187,40.6,0.88,-393,-16,2/6,-322,False
15m,london,sweep,bias,struct,187,40.6,0.88,-393,-16,2/6,-322,False
15m,asian,sweep,bias+mss,fix3,152,40.8,0.84,-414,-17,3/6,-208,False
15m,asian,sweep,bias+mss,struct,152,40.8,0.84,-414,-17,3/6,-208,False
15m,ny,sweep,bias+mss,fix2,97,32.0,0.77,-414,-17,2/6,-188,False
1h,ny,ob,pd,fix2,176,33.0,0.87,-418,-17,2/6,-299,False
5m,london,sweep,bias+mss,fix3,130,41.5,0.81,-429,-18,1/6,-216,False
5m,london,sweep,bias+mss,struct,130,41.5,0.81,-429,-18,1/6,-216,False
15m,asian,sweep,bias+mss,fix2,148,35.1,0.85,-430,-18,2/6,-211,False
1h,ny,sweep,bias,fix2,90,28.9,0.74,-439,-18,1/6,-181,False
1h,london,ob,bias,fix2,87,28.7,0.73,-446,-19,2/6,-300,False
5m,london+ny,fvg,raw,fix3,2403,47.3,0.99,-447,-19,2/6,-1090,False
5m,london+ny,fvg,raw,struct,2403,47.3,0.99,-447,-19,2/6,-1090,False
1h,london+ny,sweep,bias,fix2,136,31.6,0.82,-448,-19,1/6,-216,False
15m,asian,sweep,bias,fix3,412,43.2,0.93,-449,-19,3/6,-354,False
15m,asian,sweep,bias,struct,412,43.2,0.93,-449,-19,3/6,-354,False
15m,london,ob,pd,fix2,420,36.0,0.94,-458,-19,2/6,-415,False
1h,ny,ob,pd,fix3,180,35.0,0.84,-495,-21,2/6,-318,False
1h,ny,ob,pd,struct,180,35.0,0.84,-495,-21,2/6,-318,False
5m,asian,ob,pd+bias+sweep,fix3,405,44.7,0.92,-504,-21,2/6,-373,False
5m,asian,ob,pd+bias+sweep,struct,405,44.7,0.92,-504,-21,2/6,-373,False
1h,london,ob,raw,fix2,181,32.0,0.84,-523,-22,1/6,-222,False
1h,all,ob,pd,fix2,221,32.6,0.86,-543,-23,2/6,-343,False
1h,asian,sweep,raw,fix3,281,37.7,0.89,-550,-23,3/6,-404,False
1h,asian,sweep,raw,struct,281,37.7,0.89,-550,-23,3/6,-404,False
5m,london+ny,ob,pd+sweep,fix3,1065,44.9,0.97,-552,-23,3/6,-669,False
5m,london+ny,ob,pd+sweep,struct,1065,44.9,0.97,-552,-23,3/6,-669,False
1h,ny,sweep,bias,fix3,90,31.1,0.66,-557,-23,0/6,-226,False
1h,ny,sweep,bias,struct,90,31.1,0.66,-557,-23,0/6,-226,False
1h,ny,ob,raw,fix3,244,35.7,0.87,-564,-24,1/6,-306,False
1h,ny,ob,raw,struct,244,35.7,0.87,-564,-24,1/6,-306,False
15m,london+ny,ob,raw,fix2,874,36.3,0.96,-600,-25,3/6,-770,False
1h,london+ny,ob,pd,fix3,225,35.1,0.84,-620,-26,2/6,-336,False
1h,london+ny,ob,pd,struct,225,35.1,0.84,-620,-26,2/6,-336,False
15m,london,sweep,bias,fix2,186,33.9,0.82,-622,-26,2/6,-343,False
1h,all,sweep,bias,fix2,288,33.3,0.88,-624,-26,1/6,-256,False
5m,london+ny,ob,raw,fix2,1721,38.2,0.98,-627,-26,4/6,-1340,False
15m,asian,sweep,bias,fix2,396,36.6,0.91,-634,-26,2/6,-582,False
15m,london,ob,pd,fix3,426,41.3,0.91,-638,-27,1/6,-501,False
15m,london,ob,pd,struct,426,41.3,0.91,-638,-27,1/6,-501,False
5m,london,sweep,bias+mss,fix2,129,33.3,0.75,-643,-27,1/6,-279,False
1h,london+ny,ob,raw,fix2,305,33.1,0.88,-666,-28,0/6,-162,False
15m,asian,sweep,raw,fix2,855,37.3,0.96,-675,-28,3/6,-615,False
15m,london,ob,pd+sweep,fix2,229,33.6,0.84,-680,-28,1/6,-277,False
15m,london+ny,sweep,bias+mss,fix3,157,36.9,0.75,-697,-29,1/6,-333,False
15m,london+ny,sweep,bias+mss,struct,157,36.9,0.75,-697,-29,1/6,-333,False
15m,london+ny,sweep,bias+mss,fix2,156,32.1,0.76,-700,-29,1/6,-258,False
15m,ny,ob,pd+sweep,fix3,357,39.8,0.88,-718,-30,2/6,-411,False
15m,ny,ob,pd+sweep,struct,357,39.8,0.88,-718,-30,2/6,-411,False
1h,london+ny,ob,pd,fix2,222,31.5,0.82,-739,-31,0/6,-380,False
5m,london,ob,raw,fix2,952,38.0,0.96,-755,-31,1/6,-462,False
15m,all,sweep,bias+mss,fix2,390,35.9,0.89,-766,-32,1/6,-282,False
15m,ny,sweep,bias,fix3,278,39.6,0.83,-782,-33,0/6,-204,False
15m,ny,sweep,bias,struct,278,39.6,0.83,-782,-33,0/6,-204,False
15m,ny,ob,pd+sweep,fix2,342,33.9,0.87,-783,-33,2/6,-465,False
1h,asian,sweep,raw,fix2,272,32.7,0.84,-802,-33,2/6,-412,False
15m,london,ob,pd+sweep,fix3,230,38.3,0.79,-836,-35,1/6,-308,False
15m,london,ob,pd+sweep,struct,230,38.3,0.79,-836,-35,1/6,-308,False
5m,london+ny,sweep,bias+mss,fix2,346,36.1,0.87,-857,-36,2/6,-416,False
5m,london,ob,pd+sweep,fix3,495,43.2,0.89,-928,-39,0/6,-428,False
5m,london,ob,pd+sweep,struct,495,43.2,0.89,-928,-39,0/6,-428,False
15m,asian,sweep,raw,fix3,911,42.5,0.94,-966,-40,3/6,-780,False
15m,asian,sweep,raw,struct,911,42.5,0.94,-966,-40,3/6,-780,False
5m,asian,sweep,bias+mss,fix2,316,35.8,0.84,-990,-41,2/6,-399,False
15m,london,fvg,raw,fix2,581,37.7,0.91,-1022,-43,2/6,-754,False
5m,asian,sweep,bias+mss,fix3,327,41.9,0.81,-1055,-44,1/6,-454,False
5m,asian,sweep,bias+mss,struct,327,41.9,0.81,-1055,-44,1/6,-454,False
15m,ny,ob,pd,fix3,570,40.2,0.88,-1087,-45,3/6,-853,False
15m,ny,ob,pd,struct,570,40.2,0.88,-1087,-45,3/6,-853,False
15m,asian,ob,pd,fix2,646,35.3,0.9,-1144,-48,2/6,-1096,False
15m,london+ny,sweep,bias,fix3,450,39.8,0.84,-1195,-50,1/6,-575,False
15m,london+ny,sweep,bias,struct,450,39.8,0.84,-1195,-50,1/6,-575,False
1h,london+ny,sweep,raw,fix3,339,35.1,0.79,-1230,-51,0/6,-301,False
1h,london+ny,sweep,raw,struct,339,35.1,0.79,-1230,-51,0/6,-301,False
15m,all,sweep,bias+mss,fix3,404,39.4,0.82,-1262,-53,0/6,-443,False
15m,all,sweep,bias+mss,struct,404,39.4,0.82,-1262,-53,0/6,-443,False
5m,london,ob,raw,fix3,1039,43.9,0.92,-1347,-56,1/6,-605,False
5m,london,ob,raw,struct,1039,43.9,0.92,-1347,-56,1/6,-605,False
1h,ny,sweep,raw,fix2,208,26.9,0.66,-1361,-57,0/6,-331,False
15m,asian,ob,pd,fix3,681,40.4,0.88,-1375,-57,2/6,-912,False
15m,asian,ob,pd,struct,681,40.4,0.88,-1375,-57,2/6,-912,False
15m,ny,ob,raw,fix3,725,39.9,0.89,-1378,-57,1/6,-692,False
15m,ny,ob,raw,struct,725,39.9,0.89,-1378,-57,1/6,-692,False
15m,london+ny,ob,pd+sweep,fix2,503,33.4,0.85,-1413,-59,1/6,-703,False
1h,ny,sweep,raw,fix3,212,29.7,0.64,-1453,-61,1/6,-460,False
1h,ny,sweep,raw,struct,212,29.7,0.64,-1453,-61,1/6,-460,False
15m,ny,sweep,bias,fix2,267,30.3,0.71,-1496,-62,0/6,-576,False
15m,london+ny,ob,pd+sweep,fix3,524,38.7,0.83,-1509,-63,1/6,-581,False
15m,london+ny,ob,pd+sweep,struct,524,38.7,0.83,-1509,-63,1/6,-581,False
1h,london+ny,sweep,raw,fix2,323,29.7,0.75,-1558,-65,0/6,-594,False
5m,london,ob,pd+sweep,fix2,479,34.4,0.82,-1619,-67,0/6,-510,False
5m,ny,ob,raw,fix2,1212,36.7,0.93,-1623,-68,3/6,-1331,False
5m,ny,sweep,bias,fix3,551,41.0,0.83,-1626,-68,2/6,-803,False
5m,ny,sweep,bias,struct,551,41.0,0.83,-1626,-68,2/6,-803,False
15m,ny,ob,raw,fix2,688,34.0,0.87,-1656,-69,1/6,-929,False
15m,all,ob,pd,fix3,869,40.4,0.88,-1662,-69,2/6,-1134,False
15m,all,ob,pd,struct,869,40.4,0.88,-1662,-69,2/6,-1134,False
15m,all,sweep,bias,fix3,1132,41.7,0.91,-1678,-70,3/6,-818,False
15m,all,sweep,bias,struct,1132,41.7,0.91,-1678,-70,3/6,-818,False
1h,all,sweep,raw,fix3,676,36.5,0.85,-1714,-71,0/6,-383,False
1h,all,sweep,raw,struct,676,36.5,0.85,-1714,-71,0/6,-383,False
15m,london+ny,ob,pd,fix3,751,39.7,0.86,-1718,-72,1/6,-1183,False
15m,london+ny,ob,pd,struct,751,39.7,0.86,-1718,-72,1/6,-1183,False
15m,all,sweep,bias,fix2,1043,36.0,0.91,-1756,-73,2/6,-1033,False
15m,london,sweep,raw,fix3,436,37.6,0.76,-1830,-76,0/6,-666,False
15m,london,sweep,raw,struct,436,37.6,0.76,-1830,-76,0/6,-666,False
15m,ny,ob,pd,fix2,548,32.7,0.82,-1843,-77,2/6,-1234,False
15m,london+ny,sweep,bias,fix2,431,31.8,0.76,-1986,-83,0/6,-667,False
5m,london,ob,pd,fix2,809,35.7,0.87,-2003,-83,2/6,-659,False
15m,all,ob,pd,fix2,805,33.9,0.86,-2009,-84,2/6,-1502,False
5m,ny,sweep,bias,fix2,538,33.6,0.8,-2021,-84,2/6,-836,False
15m,ny,sweep,raw,fix3,605,38.3,0.8,-2081,-87,1/6,-976,False
15m,ny,sweep,raw,struct,605,38.3,0.8,-2081,-87,1/6,-976,False
5m,london,fvg,raw,fix3,1249,45.3,0.9,-2129,-89,1/6,-1449,False
5m,london,fvg,raw,struct,1249,45.3,0.9,-2129,-89,1/6,-1449,False
5m,london,sweep,bias,fix3,473,39.5,0.75,-2150,-90,1/6,-608,False
5m,london,sweep,bias,struct,473,39.5,0.75,-2150,-90,1/6,-608,False
15m,london+ny,ob,pd,fix2,717,33.1,0.83,-2194,-91,1/6,-1336,False
15m,asian,ob,raw,fix2,889,34.5,0.87,-2214,-92,2/6,-1241,False
5m,london,sweep,bias,fix2,464,33.0,0.75,-2314,-96,1/6,-893,False
1h,all,sweep,raw,fix2,598,31.1,0.79,-2335,-97,0/6,-636,False
5m,london,fvg,raw,fix2,1182,38.2,0.89,-2488,-104,1/6,-1917,False
15m,london,sweep,raw,fix2,424,30.4,0.7,-2490,-104,1/6,-739,False
5m,all,sweep,bias+mss,fix3,1029,42.6,0.86,-2493,-104,0/6,-780,False
5m,all,sweep,bias+mss,struct,1029,42.6,0.86,-2493,-104,0/6,-780,False
5m,london,ob,pd,fix3,856,41.4,0.83,-2543,-106,0/6,-879,False
5m,london,ob,pd,struct,856,41.4,0.83,-2543,-106,0/6,-879,False
5m,asian,ob,raw,fix2,1524,36.9,0.91,-2612,-109,2/6,-1355,False
5m,ny,ob,raw,fix3,1315,42.1,0.88,-2627,-109,0/6,-1080,False
5m,ny,ob,raw,struct,1315,42.1,0.88,-2627,-109,0/6,-1080,False
5m,ny,ob,pd,fix2,1002,35.0,0.85,-2718,-113,2/6,-1488,False
15m,ny,sweep,raw,fix2,576,31.1,0.76,-2728,-114,1/6,-1190,False
5m,all,sweep,bias+mss,fix2,988,35.6,0.85,-2860,-119,1/6,-838,False
15m,asian,ob,raw,fix3,946,38.7,0.82,-2933,-122,0/6,-1115,False
15m,asian,ob,raw,struct,946,38.7,0.82,-2933,-122,0/6,-1115,False
5m,ny,ob,pd,fix3,1054,41.0,0.83,-2946,-123,2/6,-1255,False
5m,ny,ob,pd,struct,1054,41.0,0.83,-2946,-123,2/6,-1255,False
5m,london+ny,ob,raw,fix3,1878,42.9,0.9,-2998,-125,1/6,-1242,False
5m,london+ny,ob,raw,struct,1878,42.9,0.9,-2998,-125,1/6,-1242,False
5m,london+ny,ob,pd,fix2,1442,35.9,0.89,-3016,-126,2/6,-1505,False
5m,asian,ob,raw,fix3,1692,43.2,0.89,-3207,-134,1/6,-1282,False
5m,asian,ob,raw,struct,1692,43.2,0.89,-3207,-134,1/6,-1282,False
5m,asian,ob,pd+sweep,fix2,923,34.2,0.8,-3576,-149,0/6,-1566,False
5m,london+ny,sweep,bias,fix3,1016,40.5,0.79,-3663,-153,1/6,-1249,False
5m,london+ny,sweep,bias,struct,1016,40.5,0.79,-3663,-153,1/6,-1249,False
5m,all,ob,raw,fix3,2658,43.5,0.91,-3781,-158,2/6,-1554,False
5m,all,ob,raw,struct,2658,43.5,0.91,-3781,-158,2/6,-1554,False
15m,london+ny,sweep,raw,fix3,998,37.8,0.78,-3870,-161,1/6,-983,False
15m,london+ny,sweep,raw,struct,998,37.8,0.78,-3870,-161,1/6,-983,False
5m,london+ny,sweep,bias,fix2,986,33.8,0.79,-3925,-164,1/6,-1383,False
