time,open,high,low,close,volume
2024-06-20 19:00:00+00:00,2357.908,2359.788,2357.598,2358.828,1.60505
2024-06-20 20:00:00+00:00,2358.858,2360.045,2358.108,2359.695,0.44476
2024-06-20 22:00:00+00:00,2359.298,2360.795,2357.978,2359.215,0.63099
2024-06-20 23:00:00+00:00,2359.215,2360.965,2358.735,2360.715,0.61575
2024-06-21 00:00:00+00:00,2360.728,2364.685,2360.695,2363.968,1.25448
2024-06-21 01:00:00+00:00,2363.945,2364.058,2356.998,2359.528,3.06251
2024-06-21 02:00:00+00:00,2359.528,2361.478,2358.025,2359.258,1.5284
2024-06-21 03:00:00+00:00,2359.255,2362.018,2358.615,2362.018,1.12489
2024-06-21 04:00:00+00:00,2362.035,2362.878,2360.965,2362.815,0.75091
2024-06-21 05:00:00+00:00,2362.795,2365.485,2362.105,2364.428,1.19001
2024-06-21 06:00:00+00:00,2364.378,2364.378,2357.798,2358.308,2.48956
2024-06-21 07:00:00+00:00,2358.288,2364.345,2354.995,2362.835,3.22981
2024-06-21 08:00:00+00:00,2362.835,2368.015,2362.558,2365.275,3.11195
2024-06-21 09:00:00+00:00,2365.275,2367.225,2362.805,2363.788,1.67495
2024-06-21 10:00:00+00:00,2363.805,2364.035,2361.178,2363.535,1.67236
2024-06-21 11:00:00+00:00,2363.575,2368.558,2363.415,2366.158,2.79594
2024-06-21 12:00:00+00:00,2366.125,2367.978,2360.305,2360.548,3.17421
2024-06-21 13:00:00+00:00,2360.538,2363.685,2334.665,2340.445,6.68073
2024-06-21 14:00:00+00:00,2340.325,2340.405,2328.495,2329.808,7.313885
2024-06-21 15:00:00+00:00,2329.838,2334.675,2323.165,2327.828,3.907589
2024-06-21 16:00:00+00:00,2327.828,2329.195,2323.575,2324.605,1.9046
2024-06-21 17:00:00+00:00,2324.605,2324.995,2316.588,2319.215,2.00299
2024-06-21 18:00:00+00:00,2319.215,2322.688,2316.655,2322.055,1.47742
2024-06-21 19:00:00+00:00,2322.055,2323.288,2320.325,2322.068,1.24807
2024-06-21 20:00:00+00:00,2322.038,2322.578,2320.685,2321.755,0.51431
2024-06-23 22:00:00+00:00,2322.775,2322.775,2317.635,2321.365,0.41784
2024-06-23 23:00:00+00:00,2321.314,2321.314,2317.575,2319.085,0.57833
2024-06-24 00:00:00+00:00,2318.995,2321.588,2317.818,2320.825,1.51715
2024-06-24 01:00:00+00:00,2320.885,2326.265,2318.888,2323.498,2.7185
2024-06-24 02:00:00+00:00,2323.485,2325.105,2319.495,2324.655,2.74973
2024-06-24 03:00:00+00:00,2324.615,2326.578,2324.205,2325.335,1.15532
2024-06-24 04:00:00+00:00,2325.365,2326.505,2324.025,2324.345,0.80529
2024-06-24 05:00:00+00:00,2324.345,2327.125,2323.535,2324.978,1.34918
2024-06-24 06:00:00+00:00,2324.975,2325.215,2321.215,2323.365,1.94455
2024-06-24 07:00:00+00:00,2323.325,2331.688,2321.585,2330.678,3.15059
2024-06-24 08:00:00+00:00,2330.645,2332.688,2329.055,2330.458,2.15233
2024-06-24 09:00:00+00:00,2330.435,2330.815,2320.625,2324.945,2.2248
2024-06-24 10:00:00+00:00,2324.945,2326.978,2324.365,2325.065,1.85204
2024-06-24 11:00:00+00:00,2325.048,2327.935,2324.035,2326.098,2.40143
2024-06-24 12:00:00+00:00,2326.095,2327.755,2323.205,2327.458,3.35399
2024-06-24 13:00:00+00:00,2327.458,2333.765,2325.808,2327.955,4.20098
2024-06-24 14:00:00+00:00,2327.794,2333.515,2326.815,2330.605,4.49347
2024-06-24 15:00:00+00:00,2330.574,2333.068,2327.408,2327.528,2.99604
2024-06-24 16:00:00+00:00,2327.508,2332.085,2326.758,2331.598,3.09495
2024-06-24 17:00:00+00:00,2331.575,2333.065,2330.458,2331.915,2.41442
2024-06-24 18:00:00+00:00,2331.945,2334.588,2331.815,2333.718,2.30669
2024-06-24 19:00:00+00:00,2333.718,2333.748,2330.818,2331.578,1.93465
2024-06-24 20:00:00+00:00,2331.675,2334.595,2331.675,2333.695,0.46828
2024-06-24 22:00:00+00:00,2333.205,2334.395,2331.525,2331.588,0.40521
2024-06-24 23:00:00+00:00,2331.585,2331.788,2330.105,2330.755,0.42247
2024-06-25 00:00:00+00:00,2330.815,2330.835,2328.118,2329.985,0.96828
2024-06-25 01:00:00+00:00,2329.975,2330.758,2323.035,2325.765,2.39628
2024-06-25 02:00:00+00:00,2325.708,2326.948,2324.368,2326.375,1.44388
2024-06-25 03:00:00+00:00,2326.375,2328.455,2323.878,2323.985,0.99303
2024-06-25 04:00:00+00:00,2323.985,2327.688,2322.608,2327.318,1.30767
2024-06-25 05:00:00+00:00,2327.295,2330.018,2324.425,2324.855,1.54577
2024-06-25 06:00:00+00:00,2324.855,2328.015,2323.318,2327.135,2.90669
2024-06-25 07:00:00+00:00,2327.108,2327.565,2323.915,2324.745,2.89358
2024-06-25 08:00:00+00:00,2324.695,2330.455,2322.785,2329.478,2.81865
2024-06-25 09:00:00+00:00,2329.465,2333.945,2329.145,2332.958,1.76086
2024-06-25 10:00:00+00:00,2332.928,2337.018,2332.478,2335.218,2.90802
2024-06-25 11:00:00+00:00,2335.185,2335.718,2327.345,2329.975,3.27648
2024-06-25 12:00:00+00:00,2329.965,2330.345,2323.938,2324.015,3.27792
2024-06-25 13:00:00+00:00,2324.045,2327.295,2320.175,2325.465,4.53333
2024-06-25 14:00:00+00:00,2325.465,2328.085,2319.375,2327.045,6.30295
2024-06-25 15:00:00+00:00,2327.058,2327.618,2315.455,2324.585,4.126695
2024-06-25 16:00:00+00:00,2324.645,2324.935,2315.405,2317.715,2.99303
2024-06-25 17:00:00+00:00,2317.675,2320.028,2316.675,2319.018,2.68955
2024-06-25 18:00:00+00:00,2319.035,2319.638,2316.925,2319.138,1.76712
2024-06-25 19:00:00+00:00,2319.128,2320.488,2318.688,2319.698,1.42429
2024-06-25 20:00:00+00:00,2319.698,2319.818,2317.885,2319.235,0.53222
2024-06-25 22:00:00+00:00,2319.575,2321.128,2318.705,2320.495,0.69105
2024-06-25 23:00:00+00:00,2320.505,2321.215,2318.545,2319.898,0.79428
2024-06-26 00:00:00+00:00,2319.845,2323.738,2317.648,2318.295,1.27095
2024-06-26 01:00:00+00:00,2318.265,2320.638,2310.455,2312.778,3.58659
2024-06-26 02:00:00+00:00,2312.755,2321.518,2312.258,2319.345,2.29061
2024-06-26 03:00:00+00:00,2319.325,2320.948,2316.545,2317.125,1.48187
2024-06-26 04:00:00+00:00,2317.115,2317.565,2315.025,2316.685,0.72961
2024-06-26 05:00:00+00:00,2316.685,2318.105,2311.735,2311.998,1.60886
2024-06-26 06:00:00+00:00,2311.935,2317.275,2309.608,2317.025,2.70646
2024-06-26 07:00:00+00:00,2316.998,2317.235,2312.875,2315.985,1.61504
2024-06-26 08:00:00+00:00,2315.985,2317.895,2312.805,2315.578,2.37309
2024-06-26 09:00:00+00:00,2315.658,2318.285,2315.548,2316.248,2.25988
2024-06-26 10:00:00+00:00,2316.218,2316.358,2307.598,2308.175,3.46563
2024-06-26 11:00:00+00:00,2308.175,2313.878,2304.265,2312.918,4.36413
2024-06-26 12:00:00+00:00,2312.925,2317.728,2310.058,2310.058,3.81738
2024-06-26 13:00:00+00:00,2310.058,2311.465,2293.464,2296.145,4.69239
2024-06-26 14:00:00+00:00,2296.125,2301.195,2295.258,2297.478,4.28397
2024-06-26 15:00:00+00:00,2297.498,2304.035,2295.808,2299.938,2.91225
2024-06-26 16:00:00+00:00,2299.895,2302.095,2298.395,2299.638,1.9102
2024-06-26 17:00:00+00:00,2299.615,2302.928,2299.255,2301.828,2.50955
2024-06-26 18:00:00+00:00,2301.788,2301.948,2298.428,2298.855,2.24038
2024-06-26 19:00:00+00:00,2298.858,2299.388,2296.835,2298.575,1.67179
2024-06-26 20:00:00+00:00,2298.665,2299.148,2297.155,2298.035,0.59817
2024-06-26 22:00:00+00:00,2298.098,2299.055,2297.898,2298.065,0.42417
2024-06-26 23:00:00+00:00,2298.065,2298.405,2296.615,2298.258,0.52102
2024-06-27 00:00:00+00:00,2298.288,2300.025,2297.758,2298.898,1.4793
2024-06-27 01:00:00+00:00,2298.905,2299.658,2296.635,2297.728,2.35415
2024-06-27 02:00:00+00:00,2297.675,2299.948,2297.675,2299.198,1.21465
2024-06-27 03:00:00+00:00,2299.188,2299.765,2297.918,2298.858,0.88908
2024-06-27 04:00:00+00:00,2298.835,2301.018,2298.628,2300.355,0.91046
2024-06-27 05:00:00+00:00,2300.355,2300.465,2296.718,2297.408,1.61769
2024-06-27 06:00:00+00:00,2297.408,2303.335,2296.425,2301.108,1.93511
2024-06-27 07:00:00+00:00,2301.078,2302.448,2299.865,2302.215,2.829
2024-06-27 08:00:00+00:00,2302.205,2308.298,2301.935,2307.488,3.30749
2024-06-27 09:00:00+00:00,2307.465,2313.655,2307.185,2312.498,1.91156
2024-06-27 10:00:00+00:00,2312.445,2315.425,2312.195,2315.068,1.79506
2024-06-27 11:00:00+00:00,2315.088,2317.758,2313.275,2316.928,2.90929
2024-06-27 12:00:00+00:00,2316.928,2325.655,2315.985,2322.725,3.87998
2024-06-27 13:00:00+00:00,2322.738,2324.808,2319.398,2323.165,5.78811
2024-06-27 14:00:00+00:00,2323.075,2330.735,2322.545,2328.868,5.71272
2024-06-27 15:00:00+00:00,2328.898,2330.825,2324.965,2327.365,3.50075
2024-06-27 16:00:00+00:00,2327.378,2328.198,2323.848,2325.308,2.37564
2024-06-27 17:00:00+00:00,2325.308,2327.868,2324.225,2325.728,1.6153
2024-06-27 18:00:00+00:00,2325.725,2326.268,2322.355,2326.148,1.74346
2024-06-27 19:00:00+00:00,2326.208,2327.638,2325.545,2325.968,1.70761
2024-06-27 20:00:00+00:00,2325.955,2328.445,2325.395,2327.695,0.57661
2024-06-27 22:00:00+00:00,2327.108,2327.915,2325.775,2326.765,0.18098
2024-06-27 23:00:00+00:00,2326.735,2327.818,2326.305,2327.588,0.41562
2024-06-28 00:00:00+00:00,2327.618,2328.185,2321.308,2321.478,1.38014
2024-06-28 01:00:00+00:00,2321.474,2324.345,2318.905,2320.188,2.62079
2024-06-28 02:00:00+00:00,2320.188,2324.098,2319.728,2323.538,2.53425
2024-06-28 03:00:00+00:00,2323.494,2324.858,2320.665,2321.638,1.56306
2024-06-28 04:00:00+00:00,2321.635,2321.705,2319.645,2321.078,0.91909
2024-06-28 05:00:00+00:00,2321.075,2326.908,2320.908,2325.608,2.24628
2024-06-28 06:00:00+00:00,2325.615,2328.015,2324.978,2327.385,2.22732
2024-06-28 07:00:00+00:00,2327.385,2328.748,2324.685,2327.078,1.60082
2024-06-28 08:00:00+00:00,2327.145,2331.825,2326.355,2328.625,1.73452
2024-06-28 09:00:00+00:00,2328.595,2330.265,2327.135,2330.225,1.75607
2024-06-28 10:00:00+00:00,2330.225,2336.628,2329.335,2335.758,1.5279
2024-06-28 11:00:00+00:00,2335.758,2337.068,2333.175,2333.798,2.21723
2024-06-28 12:00:00+00:00,2333.798,2339.225,2330.784,2335.365,5.93473
2024-06-28 13:00:00+00:00,2335.375,2339.635,2326.618,2330.115,6.33201
2024-06-28 14:00:00+00:00,2330.115,2333.575,2322.745,2326.405,5.45006
2024-06-28 15:00:00+00:00,2326.445,2330.308,2324.045,2328.475,3.50735
2024-06-28 16:00:00+00:00,2328.515,2332.468,2327.645,2329.898,2.66974
2024-06-28 17:00:00+00:00,2329.855,2332.618,2326.318,2326.768,2.48294
2024-06-28 18:00:00+00:00,2326.778,2328.328,2325.235,2325.668,1.44511
2024-06-28 19:00:00+00:00,2325.665,2326.168,2322.918,2324.938,1.49868
2024-06-28 20:00:00+00:00,2324.928,2326.675,2322.735,2326.275,0.81309
2024-06-30 22:00:00+00:00,2326.315,2326.775,2322.505,2324.385,0.29072
2024-06-30 23:00:00+00:00,2324.385,2326.035,2322.975,2324.825,0.75303
2024-07-01 00:00:00+00:00,2324.815,2325.198,2322.065,2324.735,1.45569
2024-07-01 01:00:00+00:00,2324.735,2328.425,2323.378,2327.755,1.71051
2024-07-01 02:00:00+00:00,2327.728,2327.728,2324.338,2326.525,1.32146
2024-07-01 03:00:00+00:00,2326.525,2327.585,2324.308,2324.608,0.69816
2024-07-01 04:00:00+00:00,2324.578,2325.965,2321.308,2323.565,0.72813
2024-07-01 05:00:00+00:00,2323.565,2323.855,2318.395,2321.745,1.44157
2024-07-01 06:00:00+00:00,2321.755,2328.865,2321.195,2326.378,3.15075
2024-07-01 07:00:00+00:00,2326.408,2326.835,2323.548,2323.638,1.16922
2024-07-01 08:00:00+00:00,2323.514,2326.155,2321.775,2325.755,1.59503
2024-07-01 09:00:00+00:00,2325.755,2329.368,2325.325,2327.335,2.28953
2024-07-01 10:00:00+00:00,2327.395,2332.575,2327.395,2332.575,2.37725
2024-07-01 11:00:00+00:00,2332.605,2338.118,2331.978,2338.065,3.94769
2024-07-01 12:00:00+00:00,2338.115,2338.388,2327.095,2327.298,3.91045
2024-07-01 13:00:00+00:00,2327.325,2334.068,2323.698,2327.015,5.27369
2024-07-01 14:00:00+00:00,2327.055,2334.155,2319.125,2323.945,4.17532
2024-07-01 15:00:00+00:00,2323.995,2328.908,2322.928,2327.698,3.58001
2024-07-01 16:00:00+00:00,2327.728,2331.768,2326.575,2328.078,2.35778
2024-07-01 17:00:00+00:00,2328.058,2329.848,2326.628,2329.158,2.10238
2024-07-01 18:00:00+00:00,2329.115,2330.688,2326.898,2329.838,1.4315
2024-07-01 19:00:00+00:00,2329.838,2331.408,2328.858,2330.908,1.50726
2024-07-01 20:00:00+00:00,2330.955,2332.368,2330.775,2331.485,0.47518
2024-07-01 22:00:00+00:00,2330.848,2332.595,2330.848,2331.625,0.22953
2024-07-01 23:00:00+00:00,2331.635,2332.425,2331.564,2332.138,0.4459
2024-07-02 00:00:00+00:00,2332.095,2333.778,2331.608,2332.985,1.1856
2024-07-02 01:00:00+00:00,2332.985,2334.125,2331.055,2334.001,1.76406
2024-07-02 02:00:00+00:00,2333.985,2334.208,2331.145,2332.205,1.13707
2024-07-02 03:00:00+00:00,2332.205,2332.535,2325.628,2325.888,1.11294
2024-07-02 04:00:00+00:00,2325.898,2327.718,2324.785,2327.155,0.80356
2024-07-02 05:00:00+00:00,2327.155,2330.695,2326.208,2329.778,1.1376
2024-07-02 06:00:00+00:00,2329.785,2331.645,2327.535,2330.308,2.06028
2024-07-02 07:00:00+00:00,2330.308,2330.835,2323.198,2330.688,2.32031
2024-07-02 08:00:00+00:00,2330.688,2332.325,2328.305,2331.065,2.47975
2024-07-02 09:00:00+00:00,2331.025,2331.798,2323.995,2324.755,2.50922
2024-07-02 10:00:00+00:00,2324.815,2326.425,2322.735,2324.398,2.30737
2024-07-02 11:00:00+00:00,2324.375,2325.508,2319.895,2320.585,2.51365
2024-07-02 12:00:00+00:00,2320.675,2328.588,2318.945,2327.368,2.89041
2024-07-02 13:00:00+00:00,2327.338,2336.668,2325.985,2334.258,5.13573
2024-07-02 14:00:00+00:00,2334.258,2335.458,2322.845,2326.535,5.21689
2024-07-02 15:00:00+00:00,2326.535,2330.318,2324.018,2324.618,3.33358
2024-07-02 16:00:00+00:00,2324.638,2324.888,2320.818,2322.745,2.25893
2024-07-02 17:00:00+00:00,2322.745,2325.198,2321.955,2324.608,1.87897
2024-07-02 18:00:00+00:00,2324.588,2328.858,2324.405,2328.318,1.92616
2024-07-02 19:00:00+00:00,2328.318,2331.318,2328.045,2330.778,1.58338
2024-07-02 20:00:00+00:00,2330.785,2330.968,2328.625,2329.335,0.5986
2024-07-02 22:00:00+00:00,2329.098,2331.115,2329.098,2329.905,0.40832
2024-07-02 23:00:00+00:00,2329.905,2331.308,2329.548,2330.138,0.45582
2024-07-03 00:00:00+00:00,2330.115,2332.015,2330.085,2330.138,0.87657
2024-07-03 01:00:00+00:00,2330.138,2331.468,2328.335,2328.948,1.31113
2024-07-03 02:00:00+00:00,2328.968,2330.958,2326.685,2328.785,0.99035
2024-07-03 03:00:00+00:00,2328.785,2332.378,2327.935,2331.598,0.85868
2024-07-03 04:00:00+00:00,2331.598,2335.168,2331.598,2334.358,0.82313
2024-07-03 05:00:00+00:00,2334.335,2335.655,2331.828,2333.228,1.80431
2024-07-03 06:00:00+00:00,2333.174,2341.078,2332.808,2340.024,3.15629
2024-07-03 07:00:00+00:00,2340.024,2347.074,2339.0,2345.275,2.51532
2024-07-03 08:00:00+00:00,2345.225,2347.438,2342.975,2344.548,2.43423
2024-07-03 09:00:00+00:00,2344.548,2346.398,2342.015,2346.165,2.09471
2024-07-03 10:00:00+00:00,2346.165,2349.418,2344.435,2346.918,2.34112
2024-07-03 11:00:00+00:00,2346.825,2346.835,2342.335,2345.308,1.87666
2024-07-03 12:00:00+00:00,2345.305,2356.015,2344.815,2350.395,4.2002
2024-07-03 13:00:00+00:00,2350.375,2358.555,2347.438,2355.105,4.92519
2024-07-03 14:00:00+00:00,2355.105,2364.795,2354.814,2362.388,6.50703
2024-07-03 15:00:00+00:00,2362.398,2363.895,2359.858,2362.945,4.35807
2024-07-03 16:00:00+00:00,2362.945,2363.055,2355.008,2356.485,2.57323
2024-07-03 17:00:00+00:00,2356.445,2360.728,2353.728,2356.545,2.29948
2024-07-03 18:00:00+00:00,2356.545,2357.878,2355.095,2356.185,1.01098
2024-07-03 19:00:00+00:00,2356.225,2356.588,2353.585,2354.218,0.84957
2024-07-03 20:00:00+00:00,2354.218,2356.265,2354.115,2355.765,0.18823
2024-07-03 22:00:00+00:00,2356.925,2359.105,2354.925,2358.675,0.35419
2024-07-03 23:00:00+00:00,2358.728,2359.455,2357.508,2358.675,0.46032
2024-07-04 00:00:00+00:00,2358.725,2359.204,2356.365,2358.438,0.94448
2024-07-04 01:00:00+00:00,2358.428,2362.385,2358.195,2361.785,1.66193
2024-07-04 02:00:00+00:00,2361.788,2362.088,2357.288,2359.138,1.3874
2024-07-04 03:00:00+00:00,2359.115,2360.185,2357.045,2357.965,1.74046
2024-07-04 04:00:00+00:00,2357.965,2359.485,2357.508,2358.415,0.79656
2024-07-04 05:00:00+00:00,2358.415,2358.448,2355.405,2356.758,1.29708
2024-07-04 06:00:00+00:00,2356.758,2357.078,2350.364,2356.215,2.05581
2024-07-04 07:00:00+00:00,2356.215,2357.645,2353.475,2357.445,1.65576
2024-07-04 08:00:00+00:00,2357.435,2359.525,2355.415,2358.755,1.37364
2024-07-04 09:00:00+00:00,2358.755,2359.005,2355.575,2357.645,0.87128
2024-07-04 10:00:00+00:00,2357.645,2359.045,2356.285,2357.905,1.49292
2024-07-04 11:00:00+00:00,2357.918,2359.888,2357.458,2358.368,1.06664
2024-07-04 12:00:00+00:00,2358.365,2360.308,2356.845,2357.648,1.16513
2024-07-04 13:00:00+00:00,2357.688,2359.955,2357.138,2359.605,1.58861
2024-07-04 14:00:00+00:00,2359.585,2361.758,2357.878,2358.828,1.99407
2024-07-04 15:00:00+00:00,2358.818,2360.578,2355.355,2357.318,2.21685
2024-07-04 16:00:00+00:00,2357.305,2359.028,2356.825,2357.685,1.43831
2024-07-04 17:00:00+00:00,2357.605,2357.895,2356.055,2356.185,0.21844
2024-07-04 18:00:00+00:00,2356.185,2357.195,2356.035,2356.555,0.18524
2024-07-04 22:00:00+00:00,2356.615,2357.405,2354.115,2357.315,0.42236
2024-07-04 23:00:00+00:00,2357.275,2357.605,2356.235,2356.655,0.39846
2024-07-05 00:00:00+00:00,2356.655,2358.935,2355.908,2358.745,1.48988
2024-07-05 01:00:00+00:00,2358.745,2360.175,2356.775,2358.268,1.78943
2024-07-05 02:00:00+00:00,2358.295,2363.018,2357.975,2360.338,1.5339
2024-07-05 03:00:00+00:00,2360.325,2362.205,2359.415,2361.655,1.17606
2024-07-05 04:00:00+00:00,2361.655,2364.568,2361.238,2363.808,1.01443
2024-07-05 05:00:00+00:00,2363.775,2364.915,2362.478,2364.575,1.39103
2024-07-05 06:00:00+00:00,2364.575,2366.198,2363.465,2363.888,2.52571
2024-07-05 07:00:00+00:00,2363.835,2367.345,2362.248,2365.115,2.0688
2024-07-05 08:00:00+00:00,2365.115,2367.955,2364.515,2366.355,1.76767
2024-07-05 09:00:00+00:00,2366.355,2366.755,2361.875,2362.328,1.48859
2024-07-05 10:00:00+00:00,2362.275,2365.378,2361.715,2364.945,1.85588
2024-07-05 11:00:00+00:00,2364.945,2365.875,2362.175,2365.725,1.84063
2024-07-05 12:00:00+00:00,2365.725,2376.025,2347.515,2372.035,7.11599
2024-07-05 13:00:00+00:00,2372.035,2385.025,2370.575,2383.065,5.67058
2024-07-05 14:00:00+00:00,2383.015,2384.315,2374.275,2380.618,4.42935
2024-07-05 15:00:00+00:00,2380.575,2388.308,2378.345,2384.595,3.90608
