tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
1h,london,sweep,raw,struct,110,46.4,513,1.33,42,35.7,-78,0.89,435,False
5m,ny,ob,pd+bias+sweep+mss,struct,75,61.3,864,2.12,27,37.0,-83,0.81,781,False
15m,london+ny,ob,pd,struct,465,39.8,-638,0.92,286,39.9,-84,0.98,-722,False
15m,london+ny,sweep,bias,struct,313,39.6,-524,0.9,143,39.9,-84,0.96,-608,False
15m,ny,fvg,bias,struct,245,52.2,1716,1.51,127,40.2,-87,0.96,1629,False
1h,london,ob,pd+bias,struct,17,29.4,-110,0.65,11,27.3,-88,0.57,-198,False
1h,all,ob,pd,fix2,155,32.9,-257,0.91,66,31.8,-91,0.92,-347,False
1h,asian,sweep,bias,struct,62,48.4,418,1.49,36,33.3,-93,0.85,325,False
1h,ny,sweep,bias,struct,68,30.9,-420,0.66,23,30.4,-95,0.75,-515,False
1h,london+ny,ob,pd,fix2,139,30.9,-443,0.82,83,32.5,-101,0.93,-544,False
1h,ny,fvg,pd+bias,struct,41,56.1,678,2.34,13,23.1,-106,0.61,572,False
1h,london,sweep,raw,fix2,110,37.3,120,1.06,42,31.0,-107,0.86,12,False
15m,ny,sweep,bias,struct,197,39.1,-430,0.87,85,38.8,-108,0.92,-538,False
1h,ny,ob,raw,struct,161,35.4,-229,0.92,83,36.1,-110,0.92,-339,False
1h,london,sweep,bias,fix2,43,41.9,197,1.3,13,23.1,-111,0.57,86,False
5m,london+ny,ob,pd+bias+sweep+mss,struct,108,57.4,958,1.77,40,37.5,-112,0.83,846,False
1h,ny,ob,pd,struct,121,34.7,-215,0.9,59,35.6,-113,0.88,-329,False
5m,london,sweep,bias,struct,333,37.5,-1512,0.75,171,40.9,-117,0.96,-1629,False
15m,london+ny,sweep,raw,struct,645,36.1,-2515,0.78,369,40.1,-119,0.98,-2634,False
15m,ny,sweep,bias+mss,struct,67,37.3,-222,0.8,32,34.4,-121,0.78,-343,False
15m,ny,sweep,bias,fix2,187,28.3,-1140,0.68,84,33.3,-124,0.92,-1264,False
1h,ny,fvg,pd+bias,fix2,41,53.7,497,1.93,13,23.1,-125,0.53,372,False
1h,london+ny,sweep,bias,fix2,102,32.4,-222,0.88,35,28.6,-125,0.8,-347,False
1h,london,sweep,bias,struct,43,53.5,422,1.8,13,23.1,-127,0.5,294,False
5m,london,ob,pd+bias+sweep,struct,144,46.5,214,1.1,65,38.5,-128,0.88,86,False
5m,london,sweep,bias+mss,struct,90,43.3,-69,0.95,50,38.0,-129,0.84,-198,False
15m,london+ny,sweep,bias+mss,struct,113,37.2,-382,0.8,47,36.2,-134,0.83,-515,False
1h,all,ob,raw,struct,197,48.2,1534,1.57,80,35.0,-138,0.9,1396,False
5m,london,sweep,bias+mss,fix2,89,34.8,-225,0.86,50,32.0,-143,0.84,-368,False
1h,london+ny,ob,raw,fix2,191,33.5,-248,0.93,114,32.5,-144,0.93,-392,False
1h,london,ob,pd,struct,69,44.9,257,1.26,41,34.1,-147,0.79,110,False
1h,london,ob,pd,fix2,69,39.1,213,1.19,41,29.3,-148,0.8,66,False
15m,ny,sweep,bias+mss,fix2,67,32.8,-210,0.82,32,28.1,-156,0.74,-366,False
15m,london+ny,ob,pd+sweep,struct,342,38.6,-712,0.87,182,39.0,-160,0.94,-872,False
5m,london+ny,sweep,raw,struct,1432,38.1,-5736,0.77,882,41.5,-171,0.99,-5908,False
1h,asian,sweep,raw,struct,187,38.0,-187,0.94,98,35.7,-183,0.89,-370,False
1h,all,sweep,bias,struct,208,41.3,326,1.1,89,33.7,-193,0.87,132,False
5m,asian,sweep,bias,fix2,674,30.9,-3675,0.72,308,35.1,-195,0.96,-3870,False
1h,london+ny,sweep,bias,struct,106,39.6,-1,1.0,35,28.6,-196,0.68,-197,False
1h,london,ob,raw,struct,121,40.5,194,1.1,62,33.9,-212,0.8,-18,False
15m,ny,fvg,pd+bias,fix2,122,46.7,727,1.38,58,31.0,-220,0.8,506,False
15m,london+ny,sweep,bias+mss,fix2,113,33.6,-279,0.86,46,28.3,-227,0.74,-505,False
15m,ny,fvg,pd+bias,struct,121,51.2,571,1.33,58,34.5,-228,0.78,343,False
1h,london+ny,ob,pd,struct,141,35.5,-189,0.92,84,34.5,-234,0.83,-422,False
5m,london,ob,pd+bias,struct,255,49.4,893,1.25,115,38.3,-238,0.87,655,False
5m,asian,ob,pd+sweep,struct,638,39.5,-1937,0.82,352,40.9,-241,0.96,-2178,False
1h,london+ny,sweep,raw,struct,238,35.7,-616,0.85,102,34.3,-246,0.85,-863,False
15m,london,sweep,bias,fix2,130,36.9,21,1.01,58,29.3,-251,0.77,-230,False
15m,london+ny,ob,pd,fix2,442,33.0,-976,0.88,275,33.5,-261,0.95,-1237,False
15m,ny,ob,pd+sweep,struct,228,41.2,-51,0.99,129,37.2,-265,0.87,-316,False
1h,asian,sweep,raw,fix2,184,33.2,-362,0.89,92,30.4,-266,0.84,-628,False
1h,london+ny,ob,raw,struct,195,37.9,207,1.06,115,34.8,-272,0.86,-66,False
5m,london,ob,pd+bias+sweep,fix2,141,40.4,350,1.15,65,29.2,-290,0.76,60,False
15m,london+ny,sweep,bias,fix2,298,31.5,-1113,0.8,139,32.4,-295,0.88,-1409,False
15m,london+ny,ob,pd+sweep,fix2,330,33.9,-488,0.92,173,32.4,-309,0.9,-797,False
1h,ny,sweep,raw,fix2,144,26.4,-930,0.67,66,27.3,-322,0.73,-1252,False
15m,asian,ob,raw,struct,603,38.8,-1193,0.88,345,38.6,-329,0.94,-1522,False
1h,london,ob,raw,fix2,120,35.0,-10,0.99,61,26.2,-358,0.69,-369,False
1h,london+ny,sweep,raw,fix2,223,30.0,-883,0.79,101,28.7,-395,0.78,-1278,False
15m,london+ny,sweep,raw,fix2,606,29.5,-3084,0.73,341,33.4,-399,0.93,-3484,False
5m,asian,sweep,bias,struct,717,37.0,-3575,0.72,321,40.2,-407,0.92,-3982,False
15m,ny,ob,pd+sweep,fix2,220,35.9,20,1.01,122,30.3,-411,0.81,-391,False
5m,london,ob,pd+bias,fix2,239,43.1,1031,1.27,113,30.1,-425,0.79,606,False
5m,london,sweep,raw,fix2,608,32.6,-2468,0.79,393,34.1,-452,0.93,-2920,False
5m,london,sweep,raw,struct,649,38.2,-2733,0.76,426,40.1,-496,0.93,-3230,False
5m,london,ob,pd+sweep,fix2,300,36.0,-293,0.95,184,31.5,-508,0.85,-801,False
5m,london,ob,pd,struct,540,43.0,-376,0.96,321,38.9,-543,0.9,-919,False
15m,london,sweep,raw,struct,282,39.4,-561,0.88,163,35.0,-567,0.8,-1128,False
1h,all,sweep,raw,struct,452,37.2,-689,0.91,232,34.1,-596,0.85,-1285,False
5m,london,ob,pd,fix2,511,37.8,183,1.02,300,32.3,-649,0.88,-467,False
5m,asian,ob,pd,struct,917,38.1,-3520,0.78,515,39.4,-762,0.91,-4282,False
15m,london,sweep,raw,fix2,277,31.4,-1136,0.78,156,28.2,-802,0.73,-1937,False
1h,all,sweep,raw,fix2,404,31.9,-1052,0.86,198,28.8,-821,0.77,-1873,False
5m,all,ob,pd,struct,1494,37.8,-5609,0.78,803,40.0,-886,0.93,-6495,False
5m,asian,ob,pd,fix2,847,32.1,-3335,0.79,471,32.3,-1127,0.87,-4462,False
5m,all,sweep,raw,fix2,3350,31.9,-15048,0.77,2238,34.8,-1448,0.96,-16496,False
5m,asian,sweep,raw,fix2,1203,31.5,-5939,0.75,736,32.6,-1760,0.87,-7700,False
5m,asian,sweep,raw,struct,1340,37.9,-5841,0.75,816,38.1,-1893,0.86,-7734,False
5m,all,sweep,raw,struct,3914,38.4,-15306,0.78,2561,40.6,-1980,0.95,-17286,False
