tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
1h,all,ob,pd+bias,struct,106,47.2,766,1.52,37,48.6,275,1.59,1041,True
1h,all,ob,pd+bias+sweep,fix2,62,43.5,404,1.44,22,45.5,208,1.73,611,True
1h,all,ob,pd+bias+sweep,struct,63,46.0,333,1.38,23,47.8,170,1.6,504,True
1h,ny,fvg,bias,struct,83,53.0,1197,2.09,27,40.7,146,1.34,1343,True
1h,london+ny,ob,pd+bias,fix2,63,39.7,213,1.21,26,38.5,84,1.2,297,True
5m,all,fvg,raw,struct,3079,48.3,5179,1.11,1974,48.3,6959,1.25,12138,False
5m,all,fvg,pd+bias,fix2,1402,42.6,3041,1.13,725,46.3,5102,1.47,8143,False
5m,all,fvg,pd+bias,struct,1487,48.0,1646,1.07,753,51.9,4273,1.43,5920,False
5m,asian,fvg,raw,struct,1472,50.2,4138,1.19,982,48.9,3856,1.28,7994,False
5m,london+ny,fvg,raw,struct,1683,49.4,4014,1.16,982,48.5,3675,1.27,7690,False
15m,all,fvg,raw,struct,1206,47.1,3320,1.18,726,48.2,3630,1.36,6951,False
5m,all,ob,raw,fix2,1492,39.3,2369,1.09,846,40.5,3136,1.24,5504,False
15m,london+ny,fvg,raw,fix2,679,42.1,1864,1.17,389,43.7,2224,1.37,4088,False
5m,asian,fvg,pd+bias,fix2,490,42.9,1101,1.13,249,49.0,2222,1.63,3323,False
5m,london,fvg,raw,fix2,872,39.8,106,1.01,526,42.0,2065,1.25,2171,False
5m,london+ny,fvg,pd+bias,struct,561,49.0,967,1.11,275,53.1,1875,1.53,2843,False
5m,london,fvg,raw,struct,948,46.6,354,1.02,545,48.1,1845,1.24,2199,False
5m,asian,fvg,pd+bias,struct,519,48.6,693,1.09,256,54.3,1800,1.55,2493,False
15m,london+ny,fvg,raw,struct,702,47.0,2026,1.19,399,47.1,1795,1.31,3821,False
15m,london,fvg,raw,struct,458,43.2,-116,0.98,223,51.6,1652,1.56,1536,False
5m,all,ob,pd+bias+sweep,struct,754,47.1,1595,1.14,362,48.6,1526,1.31,3122,False
15m,all,ob,raw,fix2,569,38.5,1013,1.11,362,40.1,1445,1.26,2458,False
5m,london+ny,ob,raw,fix2,1069,38.4,1025,1.06,637,38.1,1419,1.14,2444,False
15m,london,fvg,raw,fix2,447,36.2,-799,0.9,221,44.8,1408,1.42,608,False
5m,asian,ob,pd+bias,fix2,464,39.9,838,1.11,201,45.3,1368,1.47,2206,False
1h,asian,fvg,raw,struct,259,38.6,394,1.09,128,48.4,1337,1.77,1731,False
5m,london+ny,ob,pd+sweep,struct,676,43.0,-318,0.97,392,46.9,1317,1.24,999,False
5m,asian,ob,pd+bias,struct,488,45.5,507,1.07,214,51.4,1245,1.45,1752,False
5m,all,ob,raw,struct,1683,43.8,270,1.01,934,43.7,1202,1.09,1471,False
5m,london,fvg,pd+bias,struct,271,49.4,473,1.11,137,55.5,1178,1.69,1651,False
15m,all,ob,raw,struct,624,44.7,1352,1.15,400,44.8,1091,1.19,2443,False
15m,asian,ob,pd+sweep,fix2,275,34.9,-277,0.94,113,46.9,1080,1.71,802,False
15m,all,sweep,bias,fix2,721,34.5,-1232,0.9,342,39.2,1065,1.2,-167,False
15m,asian,ob,pd+sweep,struct,283,40.6,-223,0.95,118,52.5,1007,1.71,784,False
5m,asian,ob,pd+bias+sweep,fix2,290,35.5,-426,0.92,113,48.7,990,1.65,564,False
15m,london,fvg,bias,fix2,239,41.8,589,1.15,96,50.0,980,1.75,1569,False
15m,london,fvg,bias,struct,243,46.9,553,1.15,97,54.6,964,1.8,1517,False
15m,all,ob,pd+bias+sweep,fix2,240,40.0,758,1.2,115,45.2,911,1.57,1669,False
1h,asian,fvg,raw,fix2,258,37.2,-77,0.98,125,44.8,904,1.5,827,False
15m,all,ob,pd+bias+sweep,struct,255,43.9,370,1.1,126,51.6,896,1.58,1265,False
1h,asian,ob,raw,struct,177,41.8,400,1.15,77,51.9,858,1.91,1258,False
5m,london+ny,ob,raw,struct,1168,42.6,-651,0.96,695,43.5,857,1.08,206,False
5m,asian,ob,raw,struct,1078,43.6,-370,0.98,618,43.9,843,1.09,473,False
15m,all,ob,pd+sweep,fix2,491,37.7,616,1.07,280,38.6,838,1.19,1454,False
5m,ny,fvg,pd+bias,struct,321,50.5,894,1.19,147,51.7,836,1.43,1729,False
15m,all,ob,pd+sweep,struct,517,41.6,-35,1.0,296,44.6,810,1.19,774,False
5m,london,ob,raw,fix2,585,38.3,432,1.04,368,38.3,809,1.14,1241,False
15m,asian,sweep,raw,struct,625,41.3,-597,0.94,316,43.7,792,1.17,195,False
5m,london+ny,ob,pd+sweep,fix2,649,38.1,450,1.04,367,38.1,783,1.13,1234,False
5m,asian,ob,raw,fix2,969,37.8,185,1.01,558,37.3,779,1.08,964,False
5m,ny,ob,pd+sweep,struct,452,44.0,154,1.02,247,46.6,770,1.22,924,False
15m,london,ob,pd,struct,276,37.7,-818,0.82,150,48.0,760,1.37,-59,False
5m,asian,ob,pd+bias+sweep,struct,295,41.7,-445,0.91,120,52.5,759,1.51,315,False
15m,london,ob,pd,fix2,273,33.0,-645,0.87,147,41.5,758,1.34,112,False
15m,all,sweep,bias,struct,787,41.0,-561,0.96,363,43.8,753,1.14,193,False
5m,ny,ob,pd+sweep,fix2,437,40.0,998,1.14,236,39.4,719,1.19,1718,False
5m,london+ny,ob,pd+bias,fix2,511,45.2,3101,1.41,252,38.9,697,1.17,3799,False
15m,ny,fvg,raw,struct,471,48.0,1862,1.27,270,44.1,673,1.16,2535,False
15m,london,ob,raw,fix2,349,39.3,797,1.14,191,39.3,664,1.22,1461,False
15m,asian,fvg,raw,struct,786,47.8,2251,1.19,491,42.8,658,1.09,2909,False
15m,london+ny,ob,pd+bias,fix2,247,39.3,583,1.15,108,42.6,651,1.41,1234,False
1h,asian,ob,pd,struct,109,37.6,-204,0.89,50,54.0,648,2.11,444,False
15m,asian,ob,pd,fix2,436,33.9,-819,0.9,211,38.4,637,1.19,-183,False
15m,all,sweep,raw,struct,1578,38.3,-4081,0.85,944,41.2,619,1.04,-3462,False
15m,ny,sweep,raw,fix2,377,26.3,-2787,0.63,206,38.8,604,1.18,-2183,False
5m,london,ob,raw,struct,640,44.2,104,1.01,403,43.9,581,1.1,685,False
15m,ny,ob,pd+bias,fix2,166,37.3,145,1.05,82,43.9,578,1.49,723,False
5m,all,sweep,bias+mss,fix2,682,34.3,-1990,0.84,386,37.6,577,1.09,-1413,False
5m,london+ny,sweep,bias,fix2,675,31.6,-3055,0.76,357,37.5,552,1.09,-2503,False
5m,london+ny,ob,pd+bias,struct,535,51.0,2552,1.35,259,44.8,526,1.14,3078,False
15m,asian,sweep,raw,fix2,581,36.5,-252,0.98,303,37.3,522,1.1,270,False
15m,all,ob,pd,struct,542,39.1,-974,0.89,326,42.9,519,1.11,-455,False
15m,asian,ob,pd+bias,struct,191,42.4,52,1.02,79,50.6,518,1.51,570,False
5m,ny,ob,pd,struct,672,39.9,-1545,0.86,380,43.7,512,1.09,-1032,False
15m,london+ny,ob,pd+bias,struct,254,44.9,484,1.13,115,47.0,484,1.31,968,False
1h,asian,ob,raw,fix2,171,35.1,-6,1.0,76,42.1,459,1.41,453,False
15m,asian,ob,pd,struct,462,39.8,-682,0.91,220,42.7,456,1.14,-227,False
5m,all,ob,pd+sweep,fix2,1275,35.1,-1923,0.92,739,36.4,454,1.04,-1470,False
15m,london,ob,raw,struct,361,46.3,1069,1.2,199,43.7,446,1.15,1515,False
