time,open,high,low,close,volume
2021-06-22 00:00:00+00:00,1783.488,1789.995,1772.228,1777.438,54.25233
2021-06-23 00:00:00+00:00,1777.438,1794.838,1773.208,1777.225,46.62624
2021-06-24 00:00:00+00:00,1777.175,1787.848,1772.778,1775.148,33.488455
2021-06-25 00:00:00+00:00,1775.148,1790.268,1773.588,1780.938,31.28997
2021-06-27 00:00:00+00:00,1781.227,1782.708,1780.448,1781.838,0.810415
2021-06-28 00:00:00+00:00,1781.798,1785.718,1770.518,1778.018,34.786218
2021-06-29 00:00:00+00:00,1777.988,1778.818,1750.488,1761.358,35.71057
2021-06-30 00:00:00+00:00,1761.398,1774.278,1753.228,1768.138,34.34011
2021-07-01 00:00:00+00:00,1768.178,1782.678,1765.528,1775.428,36.072695
2021-07-02 00:00:00+00:00,1775.445,1794.928,1774.108,1786.978,35.136945
2021-07-04 00:00:00+00:00,1786.527,1787.576,1785.368,1786.108,0.724421
2021-07-05 00:00:00+00:00,1786.108,1795.128,1784.338,1791.118,20.862335
2021-07-06 00:00:00+00:00,1791.118,1814.918,1789.938,1795.428,37.370095
2021-07-07 00:00:00+00:00,1795.388,1809.648,1793.746,1803.248,35.73843
2021-07-08 00:00:00+00:00,1803.228,1818.288,1794.177,1803.648,39.131275
2021-07-09 00:00:00+00:00,1803.607,1812.298,1796.558,1807.838,31.49225
2021-07-11 00:00:00+00:00,1807.568,1808.405,1806.218,1806.368,0.86136
2021-07-12 00:00:00+00:00,1806.358,1810.708,1791.375,1806.998,34.038197
2021-07-13 00:00:00+00:00,1806.968,1817.061,1798.508,1805.948,38.243176
2021-07-14 00:00:00+00:00,1805.948,1829.678,1804.448,1826.258,37.885725
2021-07-15 00:00:00+00:00,1826.258,1833.976,1820.13,1829.408,34.209729
2021-07-16 00:00:00+00:00,1829.388,1831.428,1808.868,1811.548,33.97147
2021-07-18 00:00:00+00:00,1810.891,1815.778,1810.238,1815.588,1.138805
2021-07-19 00:00:00+00:00,1815.588,1817.178,1794.865,1811.378,46.458645
2021-07-20 00:00:00+00:00,1811.388,1824.898,1804.948,1809.648,38.269455
2021-07-21 00:00:00+00:00,1809.565,1813.658,1794.608,1802.448,33.52218
2021-07-22 00:00:00+00:00,1802.448,1808.368,1792.648,1807.038,36.29577
2021-07-23 00:00:00+00:00,1807.038,1810.218,1789.407,1801.698,31.7593
2021-07-25 00:00:00+00:00,1801.992,1802.608,1799.898,1800.198,0.90212
2021-07-26 00:00:00+00:00,1800.198,1811.398,1796.295,1797.618,35.711783
2021-07-27 00:00:00+00:00,1797.588,1805.118,1793.488,1799.808,30.42147
2021-07-28 00:00:00+00:00,1799.818,1810.205,1792.418,1809.238,34.772925
2021-07-29 00:00:00+00:00,1809.188,1832.59,1808.498,1830.138,32.93771
2021-07-30 00:00:00+00:00,1830.138,1831.248,1810.138,1813.398,27.425435
2021-08-01 00:00:00+00:00,1813.321,1815.078,1811.978,1813.815,1.562505
2021-08-02 00:00:00+00:00,1813.815,1819.418,1805.638,1812.395,34.637275
2021-08-03 00:00:00+00:00,1812.525,1814.908,1807.018,1811.058,23.82798
2021-08-04 00:00:00+00:00,1811.028,1831.605,1806.325,1811.518,31.71005
2021-08-05 00:00:00+00:00,1811.518,1814.748,1797.708,1803.405,28.81934
2021-08-06 00:00:00+00:00,1803.398,1803.615,1758.578,1762.568,34.258956
2021-08-08 00:00:00+00:00,1762.888,1764.448,1670.488,1718.975,4.377392
2021-08-09 00:00:00+00:00,1718.975,1752.498,1706.485,1731.395,41.937651
2021-08-10 00:00:00+00:00,1731.395,1738.158,1717.598,1726.818,32.263286
2021-08-11 00:00:00+00:00,1726.808,1754.288,1723.988,1752.235,32.761007
2021-08-12 00:00:00+00:00,1752.235,1758.038,1741.478,1753.328,28.46725
2021-08-13 00:00:00+00:00,1753.328,1779.848,1751.568,1779.218,28.58866
2021-08-15 00:00:00+00:00,1778.127,1779.998,1777.877,1778.778,1.093612
2021-08-16 00:00:00+00:00,1778.778,1789.198,1770.699,1787.408,36.484005
